State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,68.84,Royal Enfield,Hunter 350,252816,2021,672,Electric,78.41,Second,2024,Active,Individual,149934.18,Tier 3
Rajasthan,23.8,Bajaj,Dominar 400,131100,2020,769,Hybrid,89.98,Third,2023,Active,Individual,66960.3,Tier 3
Madhya Pradesh,27.67,KTM,125 Duke,201016,2020,216,Hybrid,71.46,Second,2023,Active,Dealer,141522.64,Tier 3
Karnataka,62.85,Kawasaki,Ninja 300,132482,2021,556,Petrol,51.73,Third,2021,Active,Dealer,56057.22,Tier 1
Madhya Pradesh,10.62,Yamaha,FZ V3,231796,2019,298,Petrol,54.72,Third,2019,Not Available,Individual,132538.36,Tier 3
Maharashtra,47.71,Hero,Splendor Plus,60839,2019,386,Electric,92.08,First,2019,Not Available,Dealer,47466.45,Tier 3
Maharashtra,77.95,Royal Enfield,Meteor 350,349740,2022,970,Petrol,58.28,First,2022,Expired,Individual,175038.79,Metro
Tamil Nadu,11.57,Kawasaki,Vulcan S,193781,2019,375,Electric,61.48,Second,2022,Expired,Dealer,96676.39,Tier 3
Punjab,78.63,KTM,390 Adventure,145538,2022,330,Electric,89.76,Second,2023,Active,Dealer,103908.96,Tier 2
Rajasthan,22.94,Hero,HF Deluxe,227055,2024,626,Hybrid,68.13,Third,2024,Active,Individual,146320.5,Tier 3
Karnataka,24.14,TVS,Jupiter,145061,2024,353,Petrol,28.08,First,2024,Not Available,Individual,83042.09,Tier 2
Gujarat,19.0,Kawasaki,Vulcan S,283629,2019,621,Petrol,35.62,First,2019,Expired,Dealer,180614.03,Tier 1
Uttar Pradesh,38.38,Kawasaki,Z650,323882,2015,674,Petrol,26.99,First,2015,Expired,Dealer,235841.3,Tier 3
Karnataka,31.41,Yamaha,Fascino 125,313211,2017,241,Electric,78.78,Second,2019,Expired,Dealer,139468.03,Tier 2
Madhya Pradesh,39.71,Hero,Xtreme 160R,165864,2024,774,Electric,86.22,First,2024,Not Available,Individual,118831.51,Tier 1
Gujarat,46.96,Kawasaki,Ninja 300,106943,2019,980,Petrol,56.58,First,2019,Expired,Individual,72475.12,Tier 3
Delhi,13.65,Hero,Xtreme 160R,373959,2020,733,Petrol,29.27,First,2020,Active,Dealer,249938.95,Tier 3
Uttar Pradesh,53.78,Royal Enfield,Hunter 350,288878,2020,659,Petrol,26.89,Third,2020,Expired,Individual,123383.54,Metro
Rajasthan,21.42,Kawasaki,Versys 650,287349,2018,665,Hybrid,62.43,First,2018,Active,Individual,137540.87,Tier 2
West Bengal,50.28,Hero,Glamour,159188,2017,441,Electric,71.8,Third,2018,Active,Dealer,74810.24,Tier 3
Punjab,25.39,Yamaha,MT-15,233599,2021,959,Hybrid,78.59,Second,2021,Expired,Dealer,116719.31,Tier 3
Madhya Pradesh,28.45,Bajaj,Dominar 400,124572,2015,177,Electric,93.33,Third,2015,Not Available,Dealer,80786.82,Metro
Punjab,55.57,Hero,HF Deluxe,305977,2017,261,Hybrid,94.67,Second,2023,Active,Dealer,172445.74,Metro
Punjab,73.15,Kawasaki,Versys 650,343743,2019,227,Hybrid,88.98,Third,2020,Not Available,Dealer,207103.09,Tier 3
Delhi,10.94,Kawasaki,Versys 650,348864,2021,833,Petrol,41.28,Second,2021,Not Available,Dealer,156687.31,Tier 2
Gujarat,17.06,Kawasaki,Ninja 300,276161,2015,880,Electric,78.25,Second,2019,Not Available,Individual,145292.42,Metro
Maharashtra,37.17,Honda,Activa,194846,2016,243,Hybrid,71.6,Third,2018,Expired,Dealer,111451.3,Tier 1
West Bengal,12.26,Yamaha,Ray ZR,296387,2016,728,Electric,73.21,First,2016,Active,Dealer,150350.99,Tier 1
Karnataka,25.34,Royal Enfield,Hunter 350,263389,2023,976,Petrol,45.81,First,2023,Not Available,Dealer,181145.09,Tier 3
Delhi,51.69,Bajaj,Dominar 400,390158,2018,620,Petrol,29.77,First,2018,Active,Individual,274058.16,Metro
Madhya Pradesh,78.17,Yamaha,Fascino 125,124319,2021,370,Petrol,33.15,Third,2022,Not Available,Dealer,57652.94,Tier 3
Rajasthan,33.03,Bajaj,Avenger 220,301300,2019,202,Electric,97.13,Third,2024,Active,Individual,196062.13,Tier 1
Delhi,72.94,Hero,Passion Pro,93080,2019,829,Hybrid,99.48,Second,2020,Active,Dealer,67381.9,Metro
Karnataka,29.17,Yamaha,FZ V3,269787,2022,646,Electric,95.65,Second,2023,Not Available,Individual,173078.76,Metro
Madhya Pradesh,45.65,Hero,HF Deluxe,143467,2023,151,Petrol,31.09,Second,2023,Expired,Individual,101240.49,Tier 2
Uttar Pradesh,33.98,TVS,NTorq 125,96480,2017,648,Hybrid,77.42,Second,2021,Not Available,Dealer,56022.88,Metro
Tamil Nadu,18.12,Yamaha,R15 V4,367986,2020,248,Electric,83.93,Second,2021,Active,Dealer,273519.68,Tier 2
Gujarat,17.48,Kawasaki,Vulcan S,177033,2019,482,Petrol,58.35,Third,2024,Active,Individual,131406.64,Tier 1
Rajasthan,25.74,TVS,Jupiter,218145,2016,643,Hybrid,65.22,Second,2023,Expired,Individual,161974.1,Tier 2
Rajasthan,79.18,TVS,NTorq 125,133793,2015,507,Electric,77.83,First,2015,Expired,Individual,73437.25,Tier 1
Uttar Pradesh,64.42,Yamaha,Ray ZR,292817,2021,828,Electric,70.73,First,2021,Expired,Individual,149668.49,Tier 3
West Bengal,29.76,Hero,Glamour,74456,2017,531,Petrol,25.56,Third,2023,Active,Dealer,56908.93,Tier 2
Punjab,42.6,Honda,Unicorn,355891,2020,687,Hybrid,93.85,First,2020,Expired,Individual,158365.89,Tier 1
Tamil Nadu,74.11,TVS,NTorq 125,257193,2019,434,Petrol,59.84,Second,2019,Expired,Dealer,179381.6,Metro
Rajasthan,79.0,KTM,390 Adventure,71253,2020,652,Hybrid,63.97,Third,2022,Active,Dealer,42173.59,Metro
Punjab,67.67,TVS,Ronin,133844,2024,617,Electric,63.25,Third,2024,Not Available,Dealer,66018.44,Tier 1
Gujarat,32.57,Bajaj,Platina 110,95632,2024,710,Electric,99.24,Second,2024,Not Available,Individual,42720.82,Tier 3
Maharashtra,32.87,Bajaj,Pulsar 150,191773,2023,828,Hybrid,98.66,First,2023,Expired,Individual,140421.62,Tier 1
Maharashtra,62.48,TVS,Ronin,147474,2023,755,Electric,78.21,Second,2024,Active,Individual,105865.07,Tier 2
Uttar Pradesh,41.44,Yamaha,R15 V4,300933,2021,696,Hybrid,65.1,First,2021,Expired,Dealer,225273.11,Metro
Gujarat,52.31,TVS,NTorq 125,99895,2016,893,Petrol,26.33,First,2016,Not Available,Dealer,47375.0,Tier 1
West Bengal,28.27,KTM,Duke 200,217205,2019,270,Hybrid,64.06,Second,2021,Not Available,Dealer,141079.28,Tier 3
Uttar Pradesh,75.79,Honda,Shine,233723,2016,660,Petrol,57.14,Second,2017,Active,Dealer,129260.78,Tier 3
Gujarat,46.83,Royal Enfield,Meteor 350,83677,2018,210,Petrol,26.01,Second,2023,Not Available,Dealer,53718.48,Tier 2
Tamil Nadu,41.97,Royal Enfield,Classic 350,261848,2016,637,Hybrid,99.08,Second,2016,Not Available,Dealer,106199.5,Tier 1
Uttar Pradesh,52.27,Kawasaki,Versys 650,57231,2015,435,Hybrid,93.59,Second,2021,Expired,Dealer,43829.89,Tier 1
Uttar Pradesh,47.4,Royal Enfield,Meteor 350,185536,2017,313,Electric,96.56,Second,2017,Not Available,Individual,90338.15,Tier 2
Madhya Pradesh,52.29,Yamaha,R15 V4,91984,2019,526,Hybrid,80.39,Third,2020,Expired,Individual,37749.25,Metro
